,Image,Attractiveness_Score,Age_Score,Gender_Score
0,100000181034135386996_1744431310_face0.jpg,3.0,5.6,3.4
1,100000818258340363999_face0.jpg,3.5,7.7,2.2
2,100000818258340363999_face1.jpg,4.1,5.8,3.6
3,100002102641050666140_1744474063_face0.jpg,3.5,3.2,4.1
4,100002178736136641990_face0.jpg,3.8,3.3,4.7
5,100002422548155634137_face0.jpg,4.6,4.8,2.5
6,100002555835488918871_face0.jpg,3.5,2.6,4.6
7,100002605512006908869_1744469179_face0.jpg,4.8,6.1,7.4
8,100002669314212360479_face0.jpg,3.9,4.7,3.1
9,100003001947833034543_1744473116_face0.jpg,2.8,3.2,2.0
10,100003378982338159257_1744455055_face0.jpg,7.3,3.8,5.7
11,100003558725066518785_face0.jpg,3.9,4.0,4.5
12,100003568615386310379_face0.jpg,6.3,9.9,6.2
13,100004074006034686257_1744443513_face0.jpg,2.9,6.4,2.7
14,100004218742036338985_face0.jpg,5.4,6.6,8.0
15,100004218742036338985_face1.jpg,4.8,4.4,5.7
16,100004510533849137260_face0.jpg,7.3,5.1,5.9
17,100004925004585772228_1744433719_face0.jpg,3.3,2.9,4.8
18,100004925004585772228_1744433719_face1.jpg,1.0,4.4,1.9
19,100004925004585772228_1744433719_face2.jpg,4.1,3.8,2.9
20,100005221778844215322_face0.jpg,2.7,4.3,2.8
21,100006217515626221967_face0.jpg,3.9,5.2,5.9
22,100006228174446060841_1744432855_face0.jpg,7.3,4.0,5.8
23,100006595603485333398_1744465564_face0.jpg,1.0,3.4,2.2
24,100006956279941633222_face0.jpg,5.6,4.0,5.8
25,100007047845750302904_face0.jpg,8.0,4.8,5.2
26,100008235330774157687_face0.jpg,3.1,5.1,2.4
27,100008369151129852382_face0.jpg,4.2,1.0,3.8
28,100008369151129852382_face1.jpg,4.6,3.7,2.1
29,100008648041722189934_1744476601_face0.jpg,5.2,6.5,8.2
30,100009330875562467436_face0.jpg,4.3,7.0,2.0
31,100009552201026219838_face0.jpg,6.7,4.4,5.4
32,100010272494980306918_face0.jpg,7.5,4.7,5.4
33,100010448315666576867_face0.jpg,2.6,4.6,1.5
34,100011171565605980224_1744455516_face0.jpg,7.4,4.1,4.9
35,100011473976181338916_face0.jpg,2.4,3.2,2.3
36,100011526860031222831_face0.jpg,6.5,7.3,3.6
37,100011818898061580635_face0.jpg,5.9,4.4,6.0
38,100012083183269807318_face0.jpg,6.2,9.7,8.0
39,100012105248287024272_face0.jpg,2.3,1.3,3.2
40,100013116948069735034_1744470092_face0.jpg,4.9,5.6,7.6
41,100013230995088364042_face0.jpg,5.8,3.9,5.5
42,100013230995088364042_face1.jpg,6.2,4.1,4.9
43,100013417912904516116_face0.jpg,3.7,1.0,3.3
44,100013634422996974309_face0.jpg,6.4,4.1,6.4
45,100013634422996974309_face1.jpg,5.4,3.4,6.3
46,100015844491925101650_face0.jpg,8.1,7.4,8.6
47,100015844491925101650_face1.jpg,4.6,4.4,6.4
48,100015844491925101650_face2.jpg,5.3,3.5,5.8
49,100016550477620213846_1744449758_face0.jpg,5.1,8.1,6.4
50,100016626457601138903_face0.jpg,2.0,1.0,2.1
51,100016890611168527846_face0.jpg,4.5,3.3,5.1
52,100016899877318096903_1744446119_face0.jpg,2.3,5.7,6.2
53,100016899877318096903_1744446119_face1.jpg,2.2,7.0,3.3
54,100016913497527087498_face0.jpg,5.0,5.1,2.9
55,100016994430168966840_1744457422_face0.jpg,6.6,7.5,2.6
